,Mission,Spacecraft,Launch date,Carrier rocket,Operator,Mission type,Outcome
128,Zond 6 (7K-L1 No.12L),"Technology demonstration for planned crewed missions. Carrying turtles in the second mission of earthlings[clarification needed] to close proximity of the Moon, the flyby was on 14 November, with a closest approach of 2,420 kilometres (1,500 mi).[64] Reentered Earth's atmosphere on 17 November; however, recovery was unsuccessful after parachutes were prematurely jettisoned.[61]","Technology demonstration for planned crewed missions. Carrying turtles in the second mission of earthlings[clarification needed] to close proximity of the Moon, the flyby was on 14 November, with a closest approach of 2,420 kilometres (1,500 mi).[64] Reentered Earth's atmosphere on 17 November; however, recovery was unsuccessful after parachutes were prematurely jettisoned.[61]","Technology demonstration for planned crewed missions. Carrying turtles in the second mission of earthlings[clarification needed] to close proximity of the Moon, the flyby was on 14 November, with a closest approach of 2,420 kilometres (1,500 mi).[64] Reentered Earth's atmosphere on 17 November; however, recovery was unsuccessful after parachutes were prematurely jettisoned.[61]","Technology demonstration for planned crewed missions. Carrying turtles in the second mission of earthlings[clarification needed] to close proximity of the Moon, the flyby was on 14 November, with a closest approach of 2,420 kilometres (1,500 mi).[64] Reentered Earth's atmosphere on 17 November; however, recovery was unsuccessful after parachutes were prematurely jettisoned.[61]","Technology demonstration for planned crewed missions. Carrying turtles in the second mission of earthlings[clarification needed] to close proximity of the Moon, the flyby was on 14 November, with a closest approach of 2,420 kilometres (1,500 mi).[64] Reentered Earth's atmosphere on 17 November; however, recovery was unsuccessful after parachutes were prematurely jettisoned.[61]","Technology demonstration for planned crewed missions. Carrying turtles in the second mission of earthlings[clarification needed] to close proximity of the Moon, the flyby was on 14 November, with a closest approach of 2,420 kilometres (1,500 mi).[64] Reentered Earth's atmosphere on 17 November; however, recovery was unsuccessful after parachutes were prematurely jettisoned.[61]"
129,Apollo 8,Apollo 8,21 December 1968,Saturn V,NASA,Crewed orbiter,
130,Apollo 8,First crewed mission to the Moon; entered orbit around the Moon with four-minute burn beginning at 09:59:52 UTC on 24 December. Completed ten orbits of the Moon before returning to Earth with an engine burn at 06:10:16 UTC on 25 December. Landed in the Pacific Ocean at 15:51 UTC on 27 December.[65],First crewed mission to the Moon; entered orbit around the Moon with four-minute burn beginning at 09:59:52 UTC on 24 December. Completed ten orbits of the Moon before returning to Earth with an engine burn at 06:10:16 UTC on 25 December. Landed in the Pacific Ocean at 15:51 UTC on 27 December.[65],First crewed mission to the Moon; entered orbit around the Moon with four-minute burn beginning at 09:59:52 UTC on 24 December. Completed ten orbits of the Moon before returning to Earth with an engine burn at 06:10:16 UTC on 25 December. Landed in the Pacific Ocean at 15:51 UTC on 27 December.[65],First crewed mission to the Moon; entered orbit around the Moon with four-minute burn beginning at 09:59:52 UTC on 24 December. Completed ten orbits of the Moon before returning to Earth with an engine burn at 06:10:16 UTC on 25 December. Landed in the Pacific Ocean at 15:51 UTC on 27 December.[65],First crewed mission to the Moon; entered orbit around the Moon with four-minute burn beginning at 09:59:52 UTC on 24 December. Completed ten orbits of the Moon before returning to Earth with an engine burn at 06:10:16 UTC on 25 December. Landed in the Pacific Ocean at 15:51 UTC on 27 December.[65],First crewed mission to the Moon; entered orbit around the Moon with four-minute burn beginning at 09:59:52 UTC on 24 December. Completed ten orbits of the Moon before returning to Earth with an engine burn at 06:10:16 UTC on 25 December. Landed in the Pacific Ocean at 15:51 UTC on 27 December.[65]
131,Soyuz 7K-L1 No.13L,Soyuz 7K-L1 No.13L,20 January 1969,Proton-K/D,Lavochkin,Flyby,
132,Soyuz 7K-L1 No.13L,Technology demonstration for planned crewed missions. Failed to orbit after one of the four second-stage engines shut down prematurely. Third-stage engine also shut down prematurely. The spacecraft was recovered using its launch escape system.[66],Technology demonstration for planned crewed missions. Failed to orbit after one of the four second-stage engines shut down prematurely. Third-stage engine also shut down prematurely. The spacecraft was recovered using its launch escape system.[66],Technology demonstration for planned crewed missions. Failed to orbit after one of the four second-stage engines shut down prematurely. Third-stage engine also shut down prematurely. The spacecraft was recovered using its launch escape system.[66],Technology demonstration for planned crewed missions. Failed to orbit after one of the four second-stage engines shut down prematurely. Third-stage engine also shut down prematurely. The spacecraft was recovered using its launch escape system.[66],Technology demonstration for planned crewed missions. Failed to orbit after one of the four second-stage engines shut down prematurely. Third-stage engine also shut down prematurely. The spacecraft was recovered using its launch escape system.[66],Technology demonstration for planned crewed missions. Failed to orbit after one of the four second-stage engines shut down prematurely. Third-stage engine also shut down prematurely. The spacecraft was recovered using its launch escape system.[66]
133,Luna E-8 No.201,Luna E-8 No.201,19 February 1969,Proton-K/D,Lavochkin,Lander,
134,Luna E-8 No.201,Lunokhod,19 February 1969,Proton-K/D,Lavochkin,Rover,
135,Luna E-8 No.201,First launch of the Lunokhod rover. Launch vehicle disintegrated 51 seconds after launch and exploded.[67],First launch of the Lunokhod rover. Launch vehicle disintegrated 51 seconds after launch and exploded.[67],First launch of the Lunokhod rover. Launch vehicle disintegrated 51 seconds after launch and exploded.[67],First launch of the Lunokhod rover. Launch vehicle disintegrated 51 seconds after launch and exploded.[67],First launch of the Lunokhod rover. Launch vehicle disintegrated 51 seconds after launch and exploded.[67],First launch of the Lunokhod rover. Launch vehicle disintegrated 51 seconds after launch and exploded.[67]
136,Soyuz 7K-L1S No.3,Soyuz 7K-L1S No.3,21 February 1969,N1,OKB-1,Orbiter,
137,Soyuz 7K-L1S No.3,First launch of N1 rocket; intended to orbit the Moon and return to Earth. First stage prematurely shut down 70 seconds after launch; launch vehicle crashed 50 kilometres (31 mi) from launch site. Spacecraft landed some 35 kilometres (22 mi) from the launch pad after successfully using its launch escape system.[67],First launch of N1 rocket; intended to orbit the Moon and return to Earth. First stage prematurely shut down 70 seconds after launch; launch vehicle crashed 50 kilometres (31 mi) from launch site. Spacecraft landed some 35 kilometres (22 mi) from the launch pad after successfully using its launch escape system.[67],First launch of N1 rocket; intended to orbit the Moon and return to Earth. First stage prematurely shut down 70 seconds after launch; launch vehicle crashed 50 kilometres (31 mi) from launch site. Spacecraft landed some 35 kilometres (22 mi) from the launch pad after successfully using its launch escape system.[67],First launch of N1 rocket; intended to orbit the Moon and return to Earth. First stage prematurely shut down 70 seconds after launch; launch vehicle crashed 50 kilometres (31 mi) from launch site. Spacecraft landed some 35 kilometres (22 mi) from the launch pad after successfully using its launch escape system.[67],First launch of N1 rocket; intended to orbit the Moon and return to Earth. First stage prematurely shut down 70 seconds after launch; launch vehicle crashed 50 kilometres (31 mi) from launch site. Spacecraft landed some 35 kilometres (22 mi) from the launch pad after successfully using its launch escape system.[67],First launch of N1 rocket; intended to orbit the Moon and return to Earth. First stage prematurely shut down 70 seconds after launch; launch vehicle crashed 50 kilometres (31 mi) from launch site. Spacecraft landed some 35 kilometres (22 mi) from the launch pad after successfully using its launch escape system.[67]
138,Apollo 10,Apollo 10,18 May 1969,Saturn V,NASA,Orbiter,
139,Apollo 10,Apollo 10 Lunar Module,18 May 1969,Saturn V,NASA,Orbiter,
140,Apollo 10,Dress rehearsal for Apollo 11. Lunar Module with two astronauts on board descended to a distance of 14.326 kilometres (8.902 mi) above the lunar surface.[68],Dress rehearsal for Apollo 11. Lunar Module with two astronauts on board descended to a distance of 14.326 kilometres (8.902 mi) above the lunar surface.[68],Dress rehearsal for Apollo 11. Lunar Module with two astronauts on board descended to a distance of 14.326 kilometres (8.902 mi) above the lunar surface.[68],Dress rehearsal for Apollo 11. Lunar Module with two astronauts on board descended to a distance of 14.326 kilometres (8.902 mi) above the lunar surface.[68],Dress rehearsal for Apollo 11. Lunar Module with two astronauts on board descended to a distance of 14.326 kilometres (8.902 mi) above the lunar surface.[68],Dress rehearsal for Apollo 11. Lunar Module with two astronauts on board descended to a distance of 14.326 kilometres (8.902 mi) above the lunar surface.[68]
141,Luna E-8-5 No.402,Luna E-8-5 No.402,14 June 1969,Proton-K/D,Lavochkin,Lander,
142,Luna E-8-5 No.402,Luna E-8-5 No.402 Return Craft,14 June 1969,Proton-K/D,Lavochkin,Sample Return,
143,Luna E-8-5 No.402,Intended to land on the Moon and return lunar soil sample. Did not reach Earth orbit after fourth stage failed to ignite.[66],Intended to land on the Moon and return lunar soil sample. Did not reach Earth orbit after fourth stage failed to ignite.[66],Intended to land on the Moon and return lunar soil sample. Did not reach Earth orbit after fourth stage failed to ignite.[66],Intended to land on the Moon and return lunar soil sample. Did not reach Earth orbit after fourth stage failed to ignite.[66],Intended to land on the Moon and return lunar soil sample. Did not reach Earth orbit after fourth stage failed to ignite.[66],Intended to land on the Moon and return lunar soil sample. Did not reach Earth orbit after fourth stage failed to ignite.[66]
144,Soyuz 7K-L1S No.5,Soyuz 7K-L1S No.5,3 July 1969,N1,OKB-1,Orbiter,
145,Soyuz 7K-L1S No.5,Intended to orbit the Moon and return to Earth. All first-stage engines shut down 10 seconds after launch; launch vehicle crashed and exploded on the launch pad. Spacecraft landed safely 2 kilometres (1.2 mi) from the launch site after using launch escape sequence.[67],Intended to orbit the Moon and return to Earth. All first-stage engines shut down 10 seconds after launch; launch vehicle crashed and exploded on the launch pad. Spacecraft landed safely 2 kilometres (1.2 mi) from the launch site after using launch escape sequence.[67],Intended to orbit the Moon and return to Earth. All first-stage engines shut down 10 seconds after launch; launch vehicle crashed and exploded on the launch pad. Spacecraft landed safely 2 kilometres (1.2 mi) from the launch site after using launch escape sequence.[67],Intended to orbit the Moon and return to Earth. All first-stage engines shut down 10 seconds after launch; launch vehicle crashed and exploded on the launch pad. Spacecraft landed safely 2 kilometres (1.2 mi) from the launch site after using launch escape sequence.[67],Intended to orbit the Moon and return to Earth. All first-stage engines shut down 10 seconds after launch; launch vehicle crashed and exploded on the launch pad. Spacecraft landed safely 2 kilometres (1.2 mi) from the launch site after using launch escape sequence.[67],Intended to orbit the Moon and return to Earth. All first-stage engines shut down 10 seconds after launch; launch vehicle crashed and exploded on the launch pad. Spacecraft landed safely 2 kilometres (1.2 mi) from the launch site after using launch escape sequence.[67]
146,Luna 15 (E-8-5 No.401),Luna 15,13 July 1969,Proton-K/D,Lavochkin,Lander,
147,Luna 15 (E-8-5 No.401),Luna 15 Return Craft,13 July 1969,Proton-K/D,Lavochkin,Sample Return,
148,Luna 15 (E-8-5 No.401),Reached lunar orbit at 10:00 UTC on 17 July. Descent retro-rocket burn started at 15:47 UTC on 21 July. Contact lost three minutes after de-orbit burn; probably crashed on the Moon.[67],Reached lunar orbit at 10:00 UTC on 17 July. Descent retro-rocket burn started at 15:47 UTC on 21 July. Contact lost three minutes after de-orbit burn; probably crashed on the Moon.[67],Reached lunar orbit at 10:00 UTC on 17 July. Descent retro-rocket burn started at 15:47 UTC on 21 July. Contact lost three minutes after de-orbit burn; probably crashed on the Moon.[67],Reached lunar orbit at 10:00 UTC on 17 July. Descent retro-rocket burn started at 15:47 UTC on 21 July. Contact lost three minutes after de-orbit burn; probably crashed on the Moon.[67],Reached lunar orbit at 10:00 UTC on 17 July. Descent retro-rocket burn started at 15:47 UTC on 21 July. Contact lost three minutes after de-orbit burn; probably crashed on the Moon.[67],Reached lunar orbit at 10:00 UTC on 17 July. Descent retro-rocket burn started at 15:47 UTC on 21 July. Contact lost three minutes after de-orbit burn; probably crashed on the Moon.[67]
149,Apollo 11,Apollo 11,16 July 1969,Saturn V,NASA,Orbiter,
150,Apollo 11,Apollo 11 Lunar Module,16 July 1969,Saturn V,NASA,Lander/Launch Vehicle,
151,Apollo 11,First crewed landing on the Moon. The Lunar Module Eagle landed at 20:17 UTC on 20 July 1969.,First crewed landing on the Moon. The Lunar Module Eagle landed at 20:17 UTC on 20 July 1969.,First crewed landing on the Moon. The Lunar Module Eagle landed at 20:17 UTC on 20 July 1969.,First crewed landing on the Moon. The Lunar Module Eagle landed at 20:17 UTC on 20 July 1969.,First crewed landing on the Moon. The Lunar Module Eagle landed at 20:17 UTC on 20 July 1969.,First crewed landing on the Moon. The Lunar Module Eagle landed at 20:17 UTC on 20 July 1969.
152,Zond 7 (7K-L1 No.11L),Zond 7,7 August 1969,Proton-K/D,Lavochkin,Flyby,
153,Zond 7 (7K-L1 No.11L),"Technology demonstration for planned crewed missions. Carried four turtles in a lunar flyby on 10 August, with a closest approach of 1,200 kilometres (750 mi); returned to Earth and landed in Kazakhstan at 18:13 UTC on 14 August.[67]","Technology demonstration for planned crewed missions. Carried four turtles in a lunar flyby on 10 August, with a closest approach of 1,200 kilometres (750 mi); returned to Earth and landed in Kazakhstan at 18:13 UTC on 14 August.[67]","Technology demonstration for planned crewed missions. Carried four turtles in a lunar flyby on 10 August, with a closest approach of 1,200 kilometres (750 mi); returned to Earth and landed in Kazakhstan at 18:13 UTC on 14 August.[67]","Technology demonstration for planned crewed missions. Carried four turtles in a lunar flyby on 10 August, with a closest approach of 1,200 kilometres (750 mi); returned to Earth and landed in Kazakhstan at 18:13 UTC on 14 August.[67]","Technology demonstration for planned crewed missions. Carried four turtles in a lunar flyby on 10 August, with a closest approach of 1,200 kilometres (750 mi); returned to Earth and landed in Kazakhstan at 18:13 UTC on 14 August.[67]","Technology demonstration for planned crewed missions. Carried four turtles in a lunar flyby on 10 August, with a closest approach of 1,200 kilometres (750 mi); returned to Earth and landed in Kazakhstan at 18:13 UTC on 14 August.[67]"
154,Kosmos 300 (E-8-5 No.403),Kosmos 300,23 September 1969,Proton-K/D,Lavochkin,Lander,
155,Kosmos 300 (E-8-5 No.403),Kosmos 300 Return Craft,23 September 1969,Proton-K/D,Lavochkin,Sample return,
156,Kosmos 300 (E-8-5 No.403),"Third attempt at lunar sample return. After reaching low Earth orbit, the fourth-stage engine failed to fire for trans-lunar injection due to oxidiser leak. Spacecraft re-entered Earth's atmosphere about 4 days after launch.[67]","Third attempt at lunar sample return. After reaching low Earth orbit, the fourth-stage engine failed to fire for trans-lunar injection due to oxidiser leak. Spacecraft re-entered Earth's atmosphere about 4 days after launch.[67]","Third attempt at lunar sample return. After reaching low Earth orbit, the fourth-stage engine failed to fire for trans-lunar injection due to oxidiser leak. Spacecraft re-entered Earth's atmosphere about 4 days after launch.[67]","Third attempt at lunar sample return. After reaching low Earth orbit, the fourth-stage engine failed to fire for trans-lunar injection due to oxidiser leak. Spacecraft re-entered Earth's atmosphere about 4 days after launch.[67]","Third attempt at lunar sample return. After reaching low Earth orbit, the fourth-stage engine failed to fire for trans-lunar injection due to oxidiser leak. Spacecraft re-entered Earth's atmosphere about 4 days after launch.[67]","Third attempt at lunar sample return. After reaching low Earth orbit, the fourth-stage engine failed to fire for trans-lunar injection due to oxidiser leak. Spacecraft re-entered Earth's atmosphere about 4 days after launch.[67]"
157,Kosmos 305 (E-8-5 No.404),Kosmos 305,22 October 1969,Proton-K/D,Lavochkin,Lander,
158,Kosmos 305 (E-8-5 No.404),Kosmos 305 Return Craft,22 October 1969,Proton-K/D,Lavochkin,Sample Return,
159,Kosmos 305 (E-8-5 No.404),"Fourth attempt at lunar sample return. After reaching low Earth orbit, the fourth-stage engine failed to fire for trans-lunar injection due to control system malfunction. Spacecraft re-entered Earth's atmosphere within one orbit after launch.[67]","Fourth attempt at lunar sample return. After reaching low Earth orbit, the fourth-stage engine failed to fire for trans-lunar injection due to control system malfunction. Spacecraft re-entered Earth's atmosphere within one orbit after launch.[67]","Fourth attempt at lunar sample return. After reaching low Earth orbit, the fourth-stage engine failed to fire for trans-lunar injection due to control system malfunction. Spacecraft re-entered Earth's atmosphere within one orbit after launch.[67]","Fourth attempt at lunar sample return. After reaching low Earth orbit, the fourth-stage engine failed to fire for trans-lunar injection due to control system malfunction. Spacecraft re-entered Earth's atmosphere within one orbit after launch.[67]","Fourth attempt at lunar sample return. After reaching low Earth orbit, the fourth-stage engine failed to fire for trans-lunar injection due to control system malfunction. Spacecraft re-entered Earth's atmosphere within one orbit after launch.[67]","Fourth attempt at lunar sample return. After reaching low Earth orbit, the fourth-stage engine failed to fire for trans-lunar injection due to control system malfunction. Spacecraft re-entered Earth's atmosphere within one orbit after launch.[67]"
160,Apollo 12,Apollo 12,14 November 1969,Saturn V,NASA,Orbiter,
161,Apollo 12,Apollo 12 Lunar Module,14 November 1969,Saturn V,NASA,Lander/Launch Vehicle,
162,Apollo 12,Second crewed lunar landing.,Second crewed lunar landing.,Second crewed lunar landing.,Second crewed lunar landing.,Second crewed lunar landing.,Second crewed lunar landing.
163,Luna E-8-5 No.405,Luna E-8-5 No.405,6 February 1970,Proton-K/D,Lavochkin,Lander,
164,Luna E-8-5 No.405,Luna E-8-5 No.405 Return Craft,6 February 1970,Proton-K/D,Lavochkin,Sample return,
165,Luna E-8-5 No.405,Failed to orbit,Failed to orbit,Failed to orbit,Failed to orbit,Failed to orbit,Failed to orbit
166,Apollo 13,Apollo 13,11 April 1970,Saturn V,NASA,Orbiter,
167,Apollo 13,Apollo 13 Lunar Module,11 April 1970,Saturn V,NASA,Lander/Launch Vehicle,
168,Apollo 13,Lunar landing aborted following Service Module oxygen tank explosion en route to the Moon; flew past the Moon (free-return trajectory) and returned the crew safely to Earth.,Lunar landing aborted following Service Module oxygen tank explosion en route to the Moon; flew past the Moon (free-return trajectory) and returned the crew safely to Earth.,Lunar landing aborted following Service Module oxygen tank explosion en route to the Moon; flew past the Moon (free-return trajectory) and returned the crew safely to Earth.,Lunar landing aborted following Service Module oxygen tank explosion en route to the Moon; flew past the Moon (free-return trajectory) and returned the crew safely to Earth.,Lunar landing aborted following Service Module oxygen tank explosion en route to the Moon; flew past the Moon (free-return trajectory) and returned the crew safely to Earth.,Lunar landing aborted following Service Module oxygen tank explosion en route to the Moon; flew past the Moon (free-return trajectory) and returned the crew safely to Earth.
169,Luna 16 (E-8-5 No.406),Luna 16,12 September 1970,Proton-K/D,Lavochkin,Lander,
170,Luna 16 (E-8-5 No.406),Luna 16 Return Craft,12 September 1970,Proton-K/D,Lavochkin,Sample return,
171,Luna 16 (E-8-5 No.406),First robotic sampling mission.,First robotic sampling mission.,First robotic sampling mission.,First robotic sampling mission.,First robotic sampling mission.,First robotic sampling mission.
172,Zond 8 (7K-L1 No.14L),Zond 8,20 October 1970,Proton-K/D,Lavochkin,Flyby,
173,Zond 8 (7K-L1 No.14L),Technology demonstration for planned crewed missions; returned to Earth successfully.,Technology demonstration for planned crewed missions; returned to Earth successfully.,Technology demonstration for planned crewed missions; returned to Earth successfully.,Technology demonstration for planned crewed missions; returned to Earth successfully.,Technology demonstration for planned crewed missions; returned to Earth successfully.,Technology demonstration for planned crewed missions; returned to Earth successfully.
174,Luna 17 (E-8 No.203),Luna 17,10 November 1970,Proton-K/D,Lavochkin,Lander,
175,Luna 17 (E-8 No.203),Lunokhod 1,10 November 1970,Proton-K/D,Lavochkin,Rover,
176,Luna 17 (E-8 No.203),Luna 17 deployed Lunokhod 1.,Luna 17 deployed Lunokhod 1.,Luna 17 deployed Lunokhod 1.,Luna 17 deployed Lunokhod 1.,Luna 17 deployed Lunokhod 1.,Luna 17 deployed Lunokhod 1.
177,Apollo 14,Apollo 14,31 January 1971,Saturn V,NASA,Orbiter,
178,Apollo 14,Apollo 14 Lunar Module,31 January 1971,Saturn V,NASA,Lander/Launch Vehicle,
179,Apollo 14,Third crewed lunar landing.,Third crewed lunar landing.,Third crewed lunar landing.,Third crewed lunar landing.,Third crewed lunar landing.,Third crewed lunar landing.
180,Apollo 15,Apollo 15,26 July 1971,Saturn V,NASA,Orbiter,
181,Apollo 15,Apollo 15 Lunar Module,26 July 1971,Saturn V,NASA,Lander/Launch Vehicle,
182,Apollo 15,Lunar Roving Vehicle,26 July 1971,Saturn V,NASA,Rover,
183,Apollo 15,"Fourth crewed lunar landing, and first to use the Lunar Roving Vehicle.","Fourth crewed lunar landing, and first to use the Lunar Roving Vehicle.","Fourth crewed lunar landing, and first to use the Lunar Roving Vehicle.","Fourth crewed lunar landing, and first to use the Lunar Roving Vehicle.","Fourth crewed lunar landing, and first to use the Lunar Roving Vehicle.","Fourth crewed lunar landing, and first to use the Lunar Roving Vehicle."
184,PFS-1,PFS-1,26 July 1971,Saturn V,NASA,Orbiter,
185,PFS-1,PFS-1 was deployed from Apollo 15.,PFS-1 was deployed from Apollo 15.,PFS-1 was deployed from Apollo 15.,PFS-1 was deployed from Apollo 15.,PFS-1 was deployed from Apollo 15.,PFS-1 was deployed from Apollo 15.
186,Luna 18 (E-8-5 No.407),Luna 18,2 September 1971,Proton-K/D,Lavochkin,Lander,
187,Luna 18 (E-8-5 No.407),Luna 18 Return Craft,2 September 1971,Proton-K/D,Lavochkin,Sample return,
188,Luna 18 (E-8-5 No.407),Failed during descent to lunar surface.,Failed during descent to lunar surface.,Failed during descent to lunar surface.,Failed during descent to lunar surface.,Failed during descent to lunar surface.,Failed during descent to lunar surface.
189,Luna 19 (E-8LS No.202),Luna 19,28 September 1971,Proton-K/D,Lavochkin,Orbiter,
190,Luna 19 (E-8LS No.202),Entered an orbit around the Moon on 2 October 1971 after two midcourse corrections on 29 September and 1 October.,Entered an orbit around the Moon on 2 October 1971 after two midcourse corrections on 29 September and 1 October.,Entered an orbit around the Moon on 2 October 1971 after two midcourse corrections on 29 September and 1 October.,Entered an orbit around the Moon on 2 October 1971 after two midcourse corrections on 29 September and 1 October.,Entered an orbit around the Moon on 2 October 1971 after two midcourse corrections on 29 September and 1 October.,Entered an orbit around the Moon on 2 October 1971 after two midcourse corrections on 29 September and 1 October.
191,Luna 20 (E-8-5 No.408),Luna 20,14 February 1972,Proton-K/D,Lavochkin,Lander,
192,Luna 20 (E-8-5 No.408),Luna 20 Return Craft,14 February 1972,Proton-K/D,Lavochkin,Sample return,
193,Luna 20 (E-8-5 No.408),"Luna 20 soft landed on the Moon in a mountainous area known as the Terra Apollonius (or Apollonius highlands) near Mare Fecunditatis (Sea of Fertility), 120 km from where Luna 16 had landed.","Luna 20 soft landed on the Moon in a mountainous area known as the Terra Apollonius (or Apollonius highlands) near Mare Fecunditatis (Sea of Fertility), 120 km from where Luna 16 had landed.","Luna 20 soft landed on the Moon in a mountainous area known as the Terra Apollonius (or Apollonius highlands) near Mare Fecunditatis (Sea of Fertility), 120 km from where Luna 16 had landed.","Luna 20 soft landed on the Moon in a mountainous area known as the Terra Apollonius (or Apollonius highlands) near Mare Fecunditatis (Sea of Fertility), 120 km from where Luna 16 had landed.","Luna 20 soft landed on the Moon in a mountainous area known as the Terra Apollonius (or Apollonius highlands) near Mare Fecunditatis (Sea of Fertility), 120 km from where Luna 16 had landed.","Luna 20 soft landed on the Moon in a mountainous area known as the Terra Apollonius (or Apollonius highlands) near Mare Fecunditatis (Sea of Fertility), 120 km from where Luna 16 had landed."
194,Apollo 16,Apollo 16,16 April 1972,Saturn V,NASA,Orbiter,
195,Apollo 16,Apollo 16 Lunar Module,16 April 1972,Saturn V,NASA,Lander/Launch Vehicle,
196,Apollo 16,Lunar Roving Vehicle,16 April 1972,Saturn V,NASA,Rover,
197,Apollo 16,5th crewed lunar landing.,5th crewed lunar landing.,5th crewed lunar landing.,5th crewed lunar landing.,5th crewed lunar landing.,5th crewed lunar landing.
198,PFS-2,PFS-2,16 April 1972,Saturn V,NASA,Orbiter,
199,PFS-2,PFS-2 deployed from Apollo 16.,PFS-2 deployed from Apollo 16.,PFS-2 deployed from Apollo 16.,PFS-2 deployed from Apollo 16.,PFS-2 deployed from Apollo 16.,PFS-2 deployed from Apollo 16.
200,Soyuz 7K-LOK No.1,Soyuz 7K-LOK No.1,3 July 1972,N1,OKB-1,Orbiter,
201,Soyuz 7K-LOK No.1,Failed to orbit; intended to orbit the Moon and return to Earth.,Failed to orbit; intended to orbit the Moon and return to Earth.,Failed to orbit; intended to orbit the Moon and return to Earth.,Failed to orbit; intended to orbit the Moon and return to Earth.,Failed to orbit; intended to orbit the Moon and return to Earth.,Failed to orbit; intended to orbit the Moon and return to Earth.
202,Apollo 17,Apollo 17,7 December 1972,Saturn V,NASA,Orbiter,
203,Apollo 17,Apollo 17 Lunar Module,7 December 1972,Saturn V,NASA,Lander/Launch Vehicle,
204,Apollo 17,Lunar Roving Vehicle,7 December 1972,Saturn V,NASA,Rover,
205,Apollo 17,Sixth and last crewed lunar landing and last use of the Lunar Roving Vehicle; the orbiting command module included five mice.,Sixth and last crewed lunar landing and last use of the Lunar Roving Vehicle; the orbiting command module included five mice.,Sixth and last crewed lunar landing and last use of the Lunar Roving Vehicle; the orbiting command module included five mice.,Sixth and last crewed lunar landing and last use of the Lunar Roving Vehicle; the orbiting command module included five mice.,Sixth and last crewed lunar landing and last use of the Lunar Roving Vehicle; the orbiting command module included five mice.,Sixth and last crewed lunar landing and last use of the Lunar Roving Vehicle; the orbiting command module included five mice.
206,Luna 21 (E-8 No.204),Luna 21,8 January 1973,Proton-K/D,Lavochkin,Lander,
207,Luna 21 (E-8 No.204),Lunokhod 2,8 January 1973,Proton-K/D,Lavochkin,Rover,
208,Luna 21 (E-8 No.204),Deployed Lunokhod 2.,Deployed Lunokhod 2.,Deployed Lunokhod 2.,Deployed Lunokhod 2.,Deployed Lunokhod 2.,Deployed Lunokhod 2.
209,Explorer 49 (RAE-B),Explorer 49,10 June 1973,Delta 1913,NASA,Orbiter,
210,Explorer 49 (RAE-B),"Radio astronomy spacecraft, operated in selenocentric orbit to avoid interference from terrestrial radio sources.","Radio astronomy spacecraft, operated in selenocentric orbit to avoid interference from terrestrial radio sources.","Radio astronomy spacecraft, operated in selenocentric orbit to avoid interference from terrestrial radio sources.","Radio astronomy spacecraft, operated in selenocentric orbit to avoid interference from terrestrial radio sources.","Radio astronomy spacecraft, operated in selenocentric orbit to avoid interference from terrestrial radio sources.","Radio astronomy spacecraft, operated in selenocentric orbit to avoid interference from terrestrial radio sources."
211,Mariner 10,Mariner 10,3 November 1973,Atlas SLV-3D Centaur-D1A,NASA,Flyby,
212,Mariner 10,"Interplanetary spacecraft, mapped lunar north pole to test cameras.","Interplanetary spacecraft, mapped lunar north pole to test cameras.","Interplanetary spacecraft, mapped lunar north pole to test cameras.","Interplanetary spacecraft, mapped lunar north pole to test cameras.","Interplanetary spacecraft, mapped lunar north pole to test cameras.","Interplanetary spacecraft, mapped lunar north pole to test cameras."
213,Luna 22 (E-8LS No.206),Luna 22,29 May 1974,Proton-K/D,Lavochkin,Orbiter,
214,Luna 22 (E-8LS No.206),Inserted into a circular lunar orbit on 2 June 1974,Inserted into a circular lunar orbit on 2 June 1974,Inserted into a circular lunar orbit on 2 June 1974,Inserted into a circular lunar orbit on 2 June 1974,Inserted into a circular lunar orbit on 2 June 1974,Inserted into a circular lunar orbit on 2 June 1974
215,Luna 23 (E-8-5M No.410),Luna 23,16 October 1975,Proton-K/D,Lavochkin,Lander,
216,Luna 23 (E-8-5M No.410),Luna 23 Return Craft,16 October 1975,Proton-K/D,Lavochkin,Sample Return,
217,Luna 23 (E-8-5M No.410),"Tipped over upon landing, precluding any sample return attempt. Functioned for three days on surface.","Tipped over upon landing, precluding any sample return attempt. Functioned for three days on surface.","Tipped over upon landing, precluding any sample return attempt. Functioned for three days on surface.","Tipped over upon landing, precluding any sample return attempt. Functioned for three days on surface.","Tipped over upon landing, precluding any sample return attempt. Functioned for three days on surface.","Tipped over upon landing, precluding any sample return attempt. Functioned for three days on surface."
218,Luna E-8-5M No.412,Luna E-8-5M No.412,16 October 1975,Proton-K/D,Lavochkin,Lander,
219,Luna E-8-5M No.412,Luna E-8-5M No.412 Return Craft,16 October 1975,Proton-K/D,Lavochkin,Sample Return,
220,Luna E-8-5M No.412,Failed to orbit.,Failed to orbit.,Failed to orbit.,Failed to orbit.,Failed to orbit.,Failed to orbit.
221,Luna 24 (E-8-5M No.413),Luna 24,9 August 1976,Proton-K/D,Lavochkin,Lander,
222,Luna 24 (E-8-5M No.413),Luna 24 Return Craft,9 August 1976,Proton-K/D,Lavochkin,Sample Return,
